"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
287 0.0557796073797142 3 24 "GO:0000118" "histone deacetylase complex" 0.181175623969769
121 0.300924843750846 2 40 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.49677511253677
223 0.000267778335953026 2 152 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.00320568922183765
-574 0.0553139342942663 2 6 "GO:0000145" "exocyst" 0.181066706791387
204 0.0611270524067961 3 46 "GO:0000151" "ubiquitin ligase complex" 0.189580146380405
-384 0.0168754471950834 3 21 "GO:0000228" "nuclear chromosome" 0.0862294192041457
-116 0.72460438874945 3 5 "GO:0000243" "commitment complex" 0.829533439579288
499 0.0413286124658858 4 9 "GO:0000407" "phagophore assembly site" 0.150579901071358
-633 0.000386365527743933 2 17 "GO:0000775" "chromosome, centromeric region" 0.00426018831907126
187 0.221912518172078 3 23 "GO:0000776" "kinetochore" 0.403768437095718
96 0.69351150706394 2 9 "GO:0000777" "condensed chromosome kinetochore" 0.819102020347423
-250 0.18828717247354 3 15 "GO:0000784;GO:0000781" "chromosome, telomeric region" 0.37007542320017
-388 0.0673166979798764 2 12 "GO:0000786;GO:0044815" "nucleosome" 0.20146926038263
-167 0.0937773763070215 3 55 "GO:0000790" "nuclear chromatin" 0.244056597397379
-479 0.0499974220957201 2 9 "GO:0000791" "euchromatin" 0.169775785136009
-220 0.261892886087853 4 14 "GO:0000792" "heterochromatin" 0.451576622513623
-407 0.0379856463131283 3 14 "GO:0000793;GO:0000794" "condensed chromosome" 0.142107016117864
293 0.100251224541753 2 17 "GO:0000812;GO:0097346" "INO80-type complex" 0.248551852562098
-71 0.541066734090829 2 41 "GO:0000922" "spindle pole" 0.719704639949388
264 0.0680024998473254 5 26 "GO:0000932" "P-body" 0.202078350610137
285 0.38500576547731 2 5 "GO:0000974" "Prp19 complex" 0.586893371217784
402 0.0695505712662373 3 11 "GO:0001650" "fibrillar center" 0.203788037486388
8 0.970222069393418 2 12 "GO:0001669" "acrosomal vesicle" 0.981939727236334
-366 0.011351715890114 4 26 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.0625613295228279
-209 0.132440348053833 3 28 "GO:0001726" "ruffle" 0.302202824383553
-133 0.609198708473138 2 8 "GO:0001750" "photoreceptor outer segment" 0.77116090287083
-334 0.131786058206505 3 11 "GO:0001917" "photoreceptor inner segment" 0.302202824383553
-78 0.692068103579372 2 14 "GO:0002102" "podosome" 0.819102020347423
-234 0.367922639938422 3 8 "GO:0002177" "manchette" 0.566636966324221
-353 3.43676917400717e-10 1 183 "GO:0005576" "extracellular region" 7.20003141954502e-08
-1039 7.6153073465378e-17 2 35 "GO:0005581" "collagen trimer" 3.19081377819934e-14
-1125 4.98506679044341e-05 2 7 "GO:0005583" "fibrillar collagen trimer" 0.00116041276955322
-357 0.0175614330103537 2 24 "GO:0005604" "basement membrane" 0.0882266396581133
-146 0.0141221546216726 2 161 "GO:0005615" "extracellular space" 0.0739761032216437
313 0.295329186148253 2 6 "GO:0005622" "intracellular" 0.492999717116008
20 0.699325516801188 1 212 "GO:0005623" "cell" 0.819102020347423
42 0.703763072374874 2 44 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.819102020347423
283 0.344115506772097 2 6 "GO:0005641" "nuclear envelope lumen" 0.544092065424561
704 0.0187193607893774 2 6 "GO:0005642" "annulate lamellae" 0.092275437302931
377 0.0220333845968127 2 20 "GO:0005643" "nuclear pore" 0.101450419187522
141 0.162859096128983 2 54 "GO:0005667" "transcription factor complex" 0.33449981018649
-123 0.57915715861905 3 11 "GO:0005669" "transcription factor TFIID complex" 0.753623756091248
405 2.44162749416099e-06 2 75 "GO:0005681" "spliceosomal complex" 0.000113671324450384
521 8.14901149523013e-06 2 40 "GO:0005684;GO:0071005;GO:0071011" "U2-type spliceosomal complex" 0.000262648908961648
52 0.852233742570977 3 7 "GO:0005685" "U1 snRNP" 0.903907977284167
390 0.110748197705288 2 9 "GO:0005686" "U2 snRNP" 0.269787760689045
295 0.368510933213143 2 5 "GO:0005689" "U12-type spliceosomal complex" 0.566636966324221
-169 0.0748996187029732 2 61 "GO:0005694" "chromosome" 0.209219601576972
199 0.472469692673157 3 7 "GO:0005700" "polytene chromosome" 0.664311413523667
-757 0.0209366621869019 2 5 "GO:0005720" "nuclear heterochromatin" 0.0993096879839755
71 0.245541193947964 2 153 "GO:0005730" "nucleolus" 0.431640172798521
-1 0.980994199200285 2 178 "GO:0005739" "mitochondrion" 0.989150239594248
42 0.777445007075521 2 24 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.861771052816517
-174 0.53099062611374 2 7 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.713045285570101
-46 0.888943335856803 2 5 "GO:0005751" "mitochondrial respiratory chain complex IV" 0.928846029236909
-131 0.6365564087043 2 7 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 0.791445505184278
257 0.13730166215977 2 18 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.306007427898636
-153 0.14806932879075 2 49 "GO:0005759" "mitochondrial matrix" 0.319608782917073
-300 0.317218821118474 4 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.519197992377502
146 0.0945378336642074 4 72 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.244056597397379
290 0.00428242741468014 4 53 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 0.0320417336919818
83 0.230957715011612 5 118 "GO:0005768" "endosome" 0.41711759737011
114 0.291172997658375 2 47 "GO:0005769" "early endosome" 0.488005944075437
241 0.0957781000878441 2 26 "GO:0005770" "late endosome" 0.244056597397379
494 0.0748616192168739 2 7 "GO:0005771" "multivesicular body" 0.209219601576972
0 0.999212041219361 3 12 "GO:0005775" "vacuolar lumen" 0.999212041219361
68 0.730773288506025 3 14 "GO:0005776" "autophagosome" 0.832048934467458
343 0.0176874408861134 2 26 "GO:0005777;GO:0042579" "microbody" 0.0882266396581133
460 0.160485132122879 3 5 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.33288747702716
51 0.369193059204087 2 178 "GO:0005783" "endoplasmic reticulum" 0.566636966324221
-330 0.00200450566832357 3 48 "GO:0005788" "endoplasmic reticulum lumen" 0.0167977575005515
167 0.0103143766069735 3 134 "GO:0005789" "endoplasmic reticulum membrane" 0.0589348864409702
-219 0.301147681585536 3 12 "GO:0005790" "smooth endoplasmic reticulum" 0.49677511253677
81 0.624426817398062 3 20 "GO:0005791" "rough endoplasmic reticulum" 0.78333783380176
362 0.0210944205980282 2 22 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.0993096879839755
65 0.280769663325343 2 157 "GO:0005794" "Golgi apparatus" 0.474364874731124
414 0.0421719254306077 2 13 "GO:0005795" "Golgi stack" 0.151025955174569
518 0.0837237834488694 3 6 "GO:0005797" "Golgi medial cisterna" 0.227793930292703
365 0.0229156377026772 2 21 "GO:0005798;GO:0030134" "Golgi-associated vesicle" 0.103243572015288
360 0.0772521145453283 4 13 "GO:0005811" "lipid droplet" 0.214361827778096
-25 0.674893010797983 4 155 "GO:0005813;GO:0005815" "microtubule organizing center" 0.817283732729349
-521 0.000181168987130548 2 28 "GO:0005814" "centriole" 0.00265217813269671
135 0.18768029428181 4 52 "GO:0005819" "spindle" 0.37007542320017
416 0.088676093906715 2 9 "GO:0005832;GO:0101031" "chaperonin-containing T-complex" 0.235160021182997
1166 9.79649943722117e-05 2 6 "GO:0005838" "proteasome regulatory particle" 0.00186578784736167
957 4.5171924944205e-07 2 15 "GO:0005839" "proteasome core complex" 3.92957724370205e-05
-82 0.329515493847387 3 78 "GO:0005840" "ribosome" 0.531062865021378
74 0.644276182853998 3 21 "GO:0005844" "polysome" 0.795451394829815
-290 3.03504514022174e-08 4 213 "GO:0005856" "cytoskeleton" 4.23894637917636e-06
-318 0.0119787860535283 4 34 "GO:0005858;GO:0044447" "axoneme part" 0.0643475814926713
-926 0.000843479680680596 2 7 "GO:0005859" "muscle myosin complex" 0.00785373302678155
-548 0.0481427925968047 5 7 "GO:0005868" "cytoplasmic dynein complex" 0.166709339653398
147 0.454452170577999 5 14 "GO:0005871" "kinesin complex" 0.652136584994137
-206 0.000798681606746217 2 151 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular fiber" 0.00760562711878784
93 0.776981312483794 3 5 "GO:0005876" "spindle microtubule" 0.861771052816517
-304 0.13569244464357 2 13 "GO:0005881" "cytoplasmic microtubule" 0.305672765084171
-626 0.0364734508706921 2 6 "GO:0005882" "intermediate filament" 0.138930690134727
-409 0.0447341790676932 4 13 "GO:0005884" "actin filament" 0.158844246011555
-434 0.0617028539624591 3 10 "GO:0005885" "Arp2/3 protein complex" 0.189580146380405
161 0.0250613132201996 4 108 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.10938218999233
-230 0.240442540773387 4 14 "GO:0005891;GO:0034704" "calcium channel complex" 0.428350625104796
58 0.84581724962477 4 6 "GO:0005901" "caveola" 0.900946857436192
98 0.643245629555799 2 12 "GO:0005902" "microvillus" 0.795451394829815
-239 0.119362275318747 3 23 "GO:0005903;GO:0098862" "cluster of actin-based cell projections" 0.280970749205365
111 0.478486117821249 2 22 "GO:0005905" "clathrin-coated pit" 0.668285611223678
3 0.96436788626489 2 96 "GO:0005911" "cell-cell junction" 0.978378073474549
-172 0.027043477311112 2 92 "GO:0005912;GO:0070161;GO:0005925;GO:0005924;GO:0030055" "anchoring junction" 0.116816670034597
-192 0.459375445143035 3 8 "GO:0005913;GO:0005916" "cell-cell adherens junction" 0.652565739653745
217 0.133430841314934 4 26 "GO:0005923;GO:0070160" "tight junction" 0.302202824383553
-228 0.00172449035918396 3 106 "GO:0005929" "cilium" 0.0157078578369148
-87 0.458330629606111 2 40 "GO:0005930" "axoneme" 0.652565739653745
-90 0.219391098953303 5 104 "GO:0005938;GO:0099568" "cytoplasmic region" 0.403768437095718
-295 0.255030939796791 2 8 "GO:0005942" "phosphatidylinositol 3-kinase complex" 0.441561833780394
246 0.116977437515453 2 22 "GO:0008023" "transcription elongation factor complex" 0.279544989251159
-1063 0.000126266122819421 2 7 "GO:0008091" "spectrin" 0.00206829451392098
24 0.912789481707379 2 11 "GO:0008250" "oligosaccharyltransferase complex" 0.946680180285623
45 0.847191078352887 3 10 "GO:0008287;GO:1903293" "phosphatase complex" 0.900946857436192
-138 0.645473685542093 4 6 "GO:0008305;GO:0098636" "integrin complex" 0.795451394829815
1172 0.000350551326065006 2 5 "GO:0008540" "proteasome regulatory particle, base subcomplex" 0.0039697569086821
726 0.000128342857665741 2 15 "GO:0009897" "external side of plasma membrane" 0.00206829451392098
-68 0.604520479555096 2 32 "GO:0009898;GO:0098562" "cytoplasmic side of membrane" 0.767693153285381
-275 0.358824346133783 2 6 "GO:0009925" "basal plasma membrane" 0.558912271487194
183 0.035502393978204 2 73 "GO:0009986" "cell surface" 0.137736139600625
154 0.0684984930580131 2 77 "GO:0010008;GO:0044440" "endosomal part" 0.202118792896532
320 0.148743944317015 2 11 "GO:0010494" "cytoplasmic stress granule" 0.319608782917073
-26 0.872295345014061 2 20 "GO:0012505" "endomembrane system" 0.91832097879621
648 0.0303674931398195 2 6 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.125979996292915
-194 0.031492291451268 2 68 "GO:0014069;GO:0099572" "postsynaptic density" 0.127386538824182
-637 0.0141243156509105 2 8 "GO:0014704" "intercalated disc" 0.0739761032216437
900 0.000233688052624161 4 9 "GO:0015030" "Cajal body" 0.00300578385204427
-444 2.59899810252773e-05 2 49 "GO:0015629" "actin cytoskeleton" 0.000725986803306079
