"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN0_c0_g1",15.398390596463,-1.34366863573373,0.28960945019995,-4.63958836566294,3.49103839551587e-06,2.28670865817224e-05
"TRINITY_DN10000_c0_g1",2.07533129708561,-0.678539018626029,0.565143353528504,-1.20064938283275,0.229887236520141,0.364962694896983
"TRINITY_DN10001_c0_g1",32.329066138241,1.40363030412685,0.196120926775406,7.15696344701789,8.24836791165292e-13,1.56230286442247e-11
"TRINITY_DN10002_c0_g1",5.21115508503565,-0.923003717758728,3.30388075952474,-0.279369561113186,0.779961228196826,0.865630419890437
"TRINITY_DN10003_c0_g1",2.85547020777886,-0.246896852231509,0.44450906329982,-0.555437161165323,0.578595680429635,0.718013026263134
"TRINITY_DN10004_c0_g1",2.14027091102558,-0.847005443999503,3.33169391037336,-0.254226668711167,0.799320448618958,0.877077699459915
"TRINITY_DN10005_c0_g1",2.59106548457197,0.708330764228423,0.551712233311441,1.28387721254057,0.199184921646399,0.326013582419998
"TRINITY_DN10006_c0_g1",2.03334975371183,-2.29343506285888,0.86011614314191,-2.6664248556959,0.00766627426133376,0.0217446130152135
"TRINITY_DN10007_c0_g1",5.07346884330993,-1.8447911768342,0.449283271788584,-4.10607581602168,4.02437441576623e-05,0.000209205283802865
"TRINITY_DN10008_c0_g1",8.02322885116756,-1.02759347508281,0.371961990079411,-2.76263032914579,0.00573376655088381,0.0170375148905994
"TRINITY_DN10009_c0_g1",1.81199915403003,-0.901406695842036,1.44788538544265,-0.622567714893023,0.533568632587072,0.678979035662015
"TRINITY_DN1000_c0_g1",14.1481804164878,-1.60615768213994,1.54403797093099,-1.04023198417297,0.298232135206334,0.445665100461682
"TRINITY_DN10010_c0_g1",19.3727398953593,0.00266266840613935,0.2238847484345,0.0118930316815142,0.99051095733572,0.994380140762813
"TRINITY_DN10011_c0_g1",3.70229253282749,-2.00902931780812,0.734431098688759,-2.73549053327808,0.00622873779235532,0.0182272976656399
"TRINITY_DN10012_c0_g1",2.90704312229749,1.69490325265864,0.533562813965874,3.17657679338772,0.00149024329081664,0.00525070398191766
"TRINITY_DN10013_c0_g1",3.33388901696393,-0.393894649960886,0.460522095657979,-0.855321934983601,0.392372947463635,0.546354214639952
