,HA1,CA2,HB2,CB3,CB4,HB5,HB6,CC2,CC3,CD2,CD4,HD6,CF8,HK4,HN1,HO1,HO2,CO4,CQ2,HQ3,CQ4,CQ5,HQ6
TRINITY_DN0_c0_g1,28,42,17,5,5,11,13,6,17,35,9,14,17,18,7,23,12,24,12,7,13,13,52
TRINITY_DN10000_c0_g1,1,0,0,0,0,0,0,1,3,0,0,0,3,1,0,2,0,2,1,0,2,1,1
TRINITY_DN10001_c0_g1,34,19,36,16,14,15,7,31,21,54,10,6,26,21,16,14,8,17,19,9,19,25,56
TRINITY_DN10002_c0_g1,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN10003_c0_g1,1,2,5,1,2,4,2,3,5,4,0,0,3,4,1,2,1,4,2,0,2,1,3
TRINITY_DN10004_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TRINITY_DN10005_c0_g1,3,3,5,2,1,1,3,1,1,5,0,1,2,4,1,2,5,4,2,4,3,1,4
TRINITY_DN10006_c0_g1,1,7,9,2,3,3,2,0,0,10,2,0,1,2,0,5,1,0,0,0,6,9,5
TRINITY_DN10007_c0_g1,2,5,0,3,2,1,0,0,0,3,3,0,2,2,1,3,5,9,4,0,12,7,0
TRINITY_DN10008_c0_g1,1,9,2,7,7,4,4,3,4,2,0,0,10,5,2,11,10,6,2,4,3,4,9
TRINITY_DN10009_c0_g1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,28,14,5,0,4,0,0,0,11
TRINITY_DN1000_c0_g1,0,0,0,0,0,0,0,4,0,23,38,23,62,0,0,0,0,45,0,0,0,0,0
TRINITY_DN10010_c0_g1,6,10,9,14,15,5,2,10,15,36,13,2,20,17,1,12,6,20,29,1,26,46,11
TRINITY_DN10011_c0_g1,5,7,142,21,20,22,73,3,1,6,1,2,6,10,3,3,85,1,23,14,1,2,12
TRINITY_DN10012_c0_g1,0,3,0,1,0,0,0,1,2,4,0,2,2,0,0,2,0,2,10,0,5,2,0
TRINITY_DN10013_c0_g1,4,4,14,3,0,0,1,2,2,12,0,2,3,6,3,1,3,3,4,4,3,9,16
TRINITY_DN10014_c0_g1,7,4,6,3,8,5,3,10,3,6,0,1,5,9,1,2,9,4,3,4,1,2,2
TRINITY_DN10015_c0_g1,4,3,0,0,0,0,0,0,0,0,0,0,1,3,0,7,0,4,0,0,3,0,4
TRINITY_DN10016_c0_g1,5,4,9,1,2,6,2,6,2,10,5,7,3,9,7,7,5,2,6,8,5,5,9
TRINITY_DN10017_c0_g1,3,4,7,2,3,4,1,5,4,0,1,2,0,4,3,5,6,2,5,0,0,4,2
TRINITY_DN10018_c0_g1,1,2,3,3,0,0,5,2,2,1,0,0,4,3,0,1,3,0,1,0,1,0,5
TRINITY_DN10019_c0_g1,14,46,29,27,19,22,20,34,28,49,17,9,39,29,11,14,15,13,31,14,21,29,21
TRINITY_DN10020_c0_g1,9,7,14,2,8,6,9,4,3,9,1,5,9,3,3,6,7,3,3,4,10,15,12
TRINITY_DN10021_c0_g1,0,0,1,0,1,0,0,0,0,0,5,1,6,2,8,3,7,0,3,0,3,2,3
TRINITY_DN10022_c0_g1,8,4,2,1,5,2,0,0,1,12,10,3,2,0,1,1,3,4,4,2,2,1,2
TRINITY_DN10023_c0_g1,1,4,8,3,3,1,1,7,0,14,4,3,4,3,4,3,2,4,4,4,5,5,11
TRINITY_DN10024_c0_g1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0
TRINITY_DN10025_c0_g1,16,7,10,7,4,9,2,8,8,17,6,1,10,12,3,12,12,8,14,0,6,7,12
TRINITY_DN10026_c0_g1,14,4,7,4,3,5,8,11,6,16,2,6,4,6,8,9,1,4,9,9,2,7,5
TRINITY_DN10027_c0_g1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,1,0,0,2,0,1
TRINITY_DN10028_c0_g1,1,2,2,1,3,0,1,0,3,3,3,1,1,1,0,1,1,1,5,1,2,2,2
TRINITY_DN10029_c0_g1,9,11,5,1,1,5,3,2,4,3,2,0,3,3,0,5,1,3,1,5,2,8,6
TRINITY_DN10030_c0_g1,25,32,27,3,10,13,8,20,9,27,12,14,9,13,15,30,18,27,20,17,27,41,21
TRINITY_DN10031_c0_g1,2,2,9,4,2,4,0,6,5,10,3,0,5,5,3,4,7,2,4,0,2,2,12
TRINITY_DN10032_c0_g1,3,11,0,0,1,2,0,3,1,17,4,3,11,7,0,0,5,4,6,3,5,6,3
TRINITY_DN10033_c0_g1,16,9,4,8,4,1,4,13,16,10,8,6,12,11,26,12,7,7,10,6,8,7,14
