Gene_id	GO_id
TRINITY_DN7078_c0_g1	GO:0005887;GO:0044224;GO:0008076;GO:0005251;GO:0005249;GO:0019228;GO:0071805;GO:0051260;GO:0034765
TRINITY_DN2201_c0_g1	GO:0022625;GO:0046872;GO:0003723;GO:0019843;GO:0003735;GO:0002181
TRINITY_DN920_c0_g1	GO:0005737;GO:0046872;GO:0004802
TRINITY_DN5985_c0_g1	GO:0031463;GO:0005737;GO:0005768;GO:0005634;GO:0017049;GO:0016477;GO:0006260;GO:0006955;GO:0035024;GO:0043161;GO:0051260;GO:0016567;GO:0043149
TRINITY_DN9176_c0_g1	GO:0015629;GO:0005912;GO:0005903;GO:0030136;GO:0005737;GO:0005856;GO:0070062;GO:0016459;GO:0051015;GO:0005524;GO:0042623;GO:0005516;GO:0000146;GO:0003774;GO:0035091;GO:0030048;GO:0006897;GO:0032836;GO:0003094;GO:0072015;GO:0001701;GO:0006807;GO:0048008;GO:0035166;GO:0001570
TRINITY_DN13649_c0_g1	GO:0016593;GO:0000993;GO:0071222;GO:0001711;GO:0016570;GO:0006378;GO:0045638;GO:0000122;GO:1902808;GO:0031442;GO:0045944;GO:0032968;GO:0006368;GO:0016055
TRINITY_DN11412_c0_g1	GO:0071565;GO:0071564;GO:0005654;GO:0016514;GO:0003682;GO:0003677;GO:0042393;GO:0043044;GO:0006338;GO:0000122;GO:0045892;GO:0006337;GO:0045893;GO:0021882
TRINITY_DN4434_c0_g1	GO:0005829;GO:0005739;GO:0005654;GO:0005525;GO:0003924
TRINITY_DN9688_c0_g1	GO:0030054;GO:0005783;GO:0005794;GO:0016021;GO:0016020;GO:0045121;GO:0045211;GO:0006915;GO:0007417;GO:0021681;GO:0021702;GO:0021680;GO:0021549;GO:2001234;GO:1902042;GO:0043524;GO:0043523;GO:0002931
TRINITY_DN221_c0_g1	GO:0005840;GO:0046872;GO:0003735;GO:0006412
TRINITY_DN11740_c0_g1	GO:0009986;GO:0005783;GO:0031012;GO:0005615;GO:0043231;GO:0004222;GO:0008237;GO:0008270;GO:0035909;GO:0090673;GO:0030198;GO:0006516;GO:0003179;GO:0007275;GO:0010596;GO:1903671;GO:0045636;GO:0015031;GO:0006508;GO:0009617;GO:0003229;GO:0016192
TRINITY_DN2697_c0_g1	GO:0005737
TRINITY_DN3958_c0_g1	GO:0005634;GO:0003677;GO:0003755
TRINITY_DN13045_c0_g1	GO:0016324;GO:0005623;GO:0005938;GO:0030054;GO:0005737;GO:0005829;GO:0005765;GO:0042470;GO:0005902;GO:0031477;GO:0032391;GO:0001917;GO:0001750;GO:0032420;GO:0120044;GO:0045202;GO:1990435;GO:0051015;GO:0030898;GO:0043531;GO:0005524;GO:0005516;GO:0042802;GO:0000146;GO:0019904;GO:0047485;GO:0030507;GO:0030048;GO:0060088;GO:0034613;GO:0050957;GO:0042462;GO:0006886;GO:0007040;GO:0042490;GO:0001845;GO:0051904;GO:0048563;GO:0050953;GO:0007605;GO:0007601
TRINITY_DN3032_c0_g1	GO:0005829;GO:0016020;GO:0005886;GO:0042802;GO:0036312;GO:0005102;GO:0032869;GO:0014068;GO:0050727;GO:0043549;GO:0042325;GO:0034134;GO:0034142;GO:0034154;GO:0034162;GO:0031929
TRINITY_DN9317_c0_g1	GO:0005794;GO:0043231;GO:0016020;GO:0005777;GO:0003723;GO:0006302;GO:0007143;GO:0010923;GO:0048477;GO:0010468
TRINITY_DN10532_c0_g1	GO:0005634;GO:0061631;GO:0006301;GO:0070534
