Iso	Gene
TRINITY_DN7078_c0_g1	Potassium voltage-gated channel subfamily A member 2 OS=Oncorhynchus mykiss OX=8022 GN=kcna2 PE=2 SV=1 E(blastx)=1e-39
TRINITY_DN2201_c0_g1	Probable 60S ribosomal protein L37-A OS=Drosophila melanogaster OX=7227 GN=RpL37a PE=1 SV=1 E(blastx)=4e-16
TRINITY_DN920_c0_g1	Transketolase-like protein 2 OS=Mus musculus OX=10090 GN=Tktl2 PE=1 SV=1 E(blastx)=2e-05
TRINITY_DN5985_c0_g1	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 OS=Pongo abelii OX=9601 GN=TNFAIP1 PE=2 SV=1 E(blastx)=3e-07
TRINITY_DN9176_c0_g1	Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2 E(blastx)=8e-39
TRINITY_DN13649_c0_g1	RNA polymerase II-associated factor 1 homolog OS=Pongo abelii OX=9601 GN=PAF1 PE=2 SV=1 E(blastx)=1e-30
TRINITY_DN11412_c0_g1	SWI/SNF complex subunit SMARCC2 OS=Mus musculus OX=10090 GN=Smarcc2 PE=1 SV=2 E(blastx)=6e-30
TRINITY_DN4434_c0_g1	GPN-loop GTPase 1 OS=Mus musculus OX=10090 GN=Gpn1 PE=1 SV=1 E(blastx)=3e-65
TRINITY_DN9688_c0_g1	Protein lifeguard 2 OS=Rattus norvegicus OX=10116 GN=Faim2 PE=2 SV=1 E(blastx)=1e-06
TRINITY_DN221_c0_g1	60S ribosomal protein L37a OS=Cryptochiton stelleri OX=6655 GN=RPL37A PE=3 SV=3 E(blastx)=9e-10
TRINITY_DN11740_c0_g1	A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4 E(blastx)=2e-05
TRINITY_DN2697_c0_g1	Leucine-rich repeat and calponin homology domain-containing protein 1 (Fragment) OS=Felis catus OX=9685 PE=2 SV=2 E(blastx)=3e-36
TRINITY_DN3958_c0_g1	46 kDa FK506-binding nuclear protein OS=Spodoptera frugiperda OX=7108 GN=FKBP46 PE=2 SV=1 E(blastx)=5e-09
TRINITY_DN13045_c0_g1	Unconventional myosin-VIIa OS=Homo sapiens OX=9606 GN=MYO7A PE=1 SV=2 E(blastx)=2e-06
TRINITY_DN3032_c0_g1	Phosphoinositide 3-kinase adapter protein 1 OS=Gallus gallus OX=9031 GN=PIK3AP1 PE=1 SV=1 E(blastx)=1e-09
TRINITY_DN9317_c0_g1	Meiosis regulator and mRNA stability factor 1 OS=Homo sapiens OX=9606 GN=MARF1 PE=1 SV=6 E(blastx)=2e-18
TRINITY_DN10532_c0_g1	Ubiquitin-conjugating enzyme E2 variant 2 OS=Gallus gallus OX=9031 GN=UBE2V2 PE=2 SV=1 E(blastx)=3e-30
TRINITY_DN11089_c0_g1	Receptor-type tyrosine-protein phosphatase S OS=Gallus gallus OX=9031 GN=PTPRS PE=1 SV=3 E(blastx)=7e-57
TRINITY_DN6012_c0_g1	Elongation factor 2 OS=Caenorhabditis elegans OX=6239 GN=eef-2 PE=1 SV=4 E(blastx)=8e-90
TRINITY_DN14568_c0_g1	Mucin-5B OS=Gallus gallus OX=9031 GN=MUC5B PE=1 SV=1 E(blastx)=6e-12
TRINITY_DN7151_c0_g1	Oxidative stress-responsive serine-rich protein 1 OS=Rattus norvegicus OX=10116 GN=Oser1 PE=1 SV=1 E(blastx)=3e-05
TRINITY_DN97_c0_g1	Thymosin beta OS=Aplysia californica OX=6500 PE=1 SV=1 E(blastx)=2e-16
TRINITY_DN10135_c0_g1	Fibronectin type III domain-containing protein OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=6e-08
TRINITY_DN9441_c0_g1	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1 E(blastx)=7e-16
TRINITY_DN6127_c0_g1	"Splicing factor, proline- and glutamine-rich OS=Mus musculus OX=10090 GN=Sfpq PE=1 SV=1 E(blastx)=1e-30"
TRINITY_DN5900_c0_g1	Coiled-coil domain-containing protein 81 OS=Rattus norvegicus OX=10116 GN=Ccdc81 PE=1 SV=1 E(blastx)=1e-18
TRINITY_DN5321_c0_g1	Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens OX=9606 GN=ATG7 PE=1 SV=1 E(blastx)=9e-22
TRINITY_DN7122_c0_g1	Protein mono-ADP-ribosyltransferase PARP12 OS=Mus musculus OX=10090 GN=Parp12 PE=1 SV=3 E(blastx)=1e-20
TRINITY_DN14227_c0_g1	Endothelin-converting enzyme 1 OS=Bos taurus OX=9913 GN=ECE1 PE=1 SV=2 E(blastx)=6e-13
TRINITY_DN12197_c0_g1	Centrosome-associated protein 350 OS=Mus musculus OX=10090 GN=Cep350 PE=1 SV=1 E(blastx)=2e-33
TRINITY_DN2982_c0_g1	Very-long-chain 3-oxoacyl-CoA reductase OS=Anas platyrhynchos OX=8839 GN=HSD17B12 PE=2 SV=1 E(blastx)=1e-24
TRINITY_DN8752_c0_g1	D(2) dopamine receptor OS=Meleagris gallopavo OX=9103 GN=DRD2 PE=2 SV=1 E(blastx)=9e-10
TRINITY_DN10215_c0_g1	PHD finger protein 14 OS=Mus musculus OX=10090 GN=Phf14 PE=1 SV=1 E(blastx)=2e-30
TRINITY_DN12620_c0_g1	Probable Bax inhibitor 1 OS=Paralichthys olivaceus OX=8255 GN=tmbim6 PE=2 SV=1 E(blastx)=7e-14
TRINITY_DN9289_c0_g1	Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Mus musculus OX=10090 GN=Eif2ak3 PE=1 SV=1 E(blastx)=9e-19
TRINITY_DN3365_c0_g1	Transcription initiation factor TFIID subunit 12 OS=Mus musculus OX=10090 GN=Taf12 PE=1 SV=1 E(blastx)=6e-51
TRINITY_DN12892_c0_g1	E3 ubiquitin-protein ligase ZNF598 OS=Mus musculus OX=10090 GN=Znf598 PE=1 SV=1 E(blastx)=1e-17
