TRINITY_DN7078_c0_g1_i1	sp|Q9I830|KCNA2_ONCMY	1e-39
TRINITY_DN2201_c0_g1_i1	sp|Q9VXX8|RL371_DROME	4e-16
TRINITY_DN920_c0_g1_i1	sp|Q9D4D4|TKTL2_MOUSE	2e-05
TRINITY_DN5985_c0_g1_i1	sp|Q5RBH4|BACD2_PONAB	3e-07
TRINITY_DN9176_c0_g1_i1	sp|Q12965|MYO1E_HUMAN	8e-39
TRINITY_DN13649_c0_g1_i1	sp|Q5RAX0|PAF1_PONAB	1e-30
TRINITY_DN11412_c0_g1_i1	sp|Q6PDG5|SMRC2_MOUSE	6e-30
TRINITY_DN4434_c0_g1_i1	sp|Q8VCE2|GPN1_MOUSE	3e-65
TRINITY_DN9688_c0_g1_i1	sp|O88407|LFG2_RAT	1e-06
TRINITY_DN221_c0_g1_i1	sp|O61462|RL37A_CRYST	9e-10
TRINITY_DN11740_c0_g1_i1	sp|Q9P2N4|ATS9_HUMAN	2e-05
TRINITY_DN2697_c0_g1_i1	sp|P41737|LRCH1_FELCA	3e-36
TRINITY_DN3958_c0_g1_i1	sp|Q26486|FKBP4_SPOFR	5e-09
TRINITY_DN13045_c0_g1_i1	sp|Q13402|MYO7A_HUMAN	2e-06
TRINITY_DN3032_c0_g1_i1	sp|Q9DDT2|BCAP_CHICK	1e-09
TRINITY_DN9317_c0_g1_i1	sp|Q9Y4F3|MARF1_HUMAN	2e-18
TRINITY_DN10532_c0_g1_i1	sp|Q5F3Z3|UB2V2_CHICK	3e-30
TRINITY_DN11089_c0_g1_i1	sp|F1NWE3|PTPRS_CHICK	7e-57
TRINITY_DN6012_c0_g1_i1	sp|P29691|EF2_CAEEL	8e-90
TRINITY_DN14568_c0_g1_i1	sp|Q98UI9|MUC5B_CHICK	6e-12
TRINITY_DN7151_c0_g1_i1	sp|Q703I1|OSER1_RAT	3e-05
TRINITY_DN97_c0_g1_i1	sp|Q8T697|TYB_APLCA	2e-16
TRINITY_DN10135_c0_g1_i1	sp|B8VIW9|FP_ACRMI	6e-08
TRINITY_DN9441_c0_g1_i1	sp|P35241|RADI_HUMAN	7e-16
TRINITY_DN6127_c0_g1_i1	sp|Q8VIJ6|SFPQ_MOUSE	1e-30
TRINITY_DN5900_c0_g1_i1	sp|Q5XIN9|CCD81_RAT	1e-18
TRINITY_DN5321_c0_g1_i1	sp|O95352|ATG7_HUMAN	9e-22
TRINITY_DN7122_c0_g1_i1	sp|Q8BZ20|PAR12_MOUSE	1e-20
TRINITY_DN14227_c0_g1_i1	sp|P42891|ECE1_BOVIN	6e-13
TRINITY_DN12197_c0_g1_i1	sp|E9Q309|CE350_MOUSE	2e-33
TRINITY_DN2982_c0_g1_i1	sp|O57314|DHB12_ANAPL	1e-24
TRINITY_DN8752_c0_g1_i1	sp|O73810|DRD2_MELGA	9e-10
TRINITY_DN10215_c0_g1_i1	sp|Q9D4H9|PHF14_MOUSE	2e-30
TRINITY_DN12620_c0_g1_i1	sp|Q9IA79|BI1_PAROL	7e-14
TRINITY_DN9289_c0_g1_i1	sp|Q9Z2B5|E2AK3_MOUSE	9e-19
TRINITY_DN3365_c0_g1_i1	sp|Q8VE65|TAF12_MOUSE	6e-51
TRINITY_DN12892_c0_g1_i1	sp|Q80YR4|ZN598_MOUSE	1e-17
TRINITY_DN12255_c0_g1_i1	sp|O61231|RL10_DROME	3e-28
TRINITY_DN10198_c0_g1_i1	sp|B3EWZ9|HEPHL_ACRMI	2e-38
TRINITY_DN11373_c0_g1_i1	sp|Q1LUC1|BZW2_DANRE	3e-08
TRINITY_DN10334_c0_g1_i1	sp|Q5TCS8|KAD9_HUMAN	3e-34
TRINITY_DN12789_c0_g1_i1	sp|Q91XQ0|DYH8_MOUSE	6e-07
TRINITY_DN13420_c0_g1_i1	sp|Q92005|EF1A_DANRE	3e-42
TRINITY_DN13851_c0_g1_i1	sp|Q9NQC7|CYLD_HUMAN	4e-25
TRINITY_DN6826_c0_g1_i1	sp|Q9H5I5|PIEZ2_HUMAN	1e-09
TRINITY_DN10242_c0_g1_i1	sp|Q6TEM9|MYLIA_DANRE	3e-07
TRINITY_DN3105_c0_g1_i1	sp|Q9CPX9|APC11_MOUSE	3e-43
TRINITY_DN11332_c0_g1_i1	sp|P37285|KLC1_RAT	4e-06
TRINITY_DN984_c0_g1_i1	sp|Q641P0|ARP3B_MOUSE	5e-36
TRINITY_DN13893_c0_g1_i1	sp|Q6PDX6|RN220_MOUSE	5e-11
TRINITY_DN6757_c0_g1_i1	sp|P54412|EF1G_CAEEL	2e-17
TRINITY_DN10451_c0_g1_i1	sp|Q6PCF9|S38AA_XENLA	5e-13
TRINITY_DN8000_c0_g1_i1	sp|Q3T084|TCPW_BOVIN	8e-25
TRINITY_DN2865_c0_g1_i1	sp|Q62384|ZPR1_MOUSE	9e-22
TRINITY_DN6870_c0_g1_i1	sp|A1R8N8|MSHA_PAEAT	2e-09
TRINITY_DN13277_c0_g1_i1	sp|Q8K4B0|MTA1_MOUSE	1e-32
TRINITY_DN7097_c0_g1_i1	sp|Q5RCF3|CUL2_PONAB	2e-36
TRINITY_DN14293_c0_g1_i1	sp|Q91896|1433Z_XENLA	9e-08
TRINITY_DN3269_c0_g1_i1	sp|P13010|XRCC5_HUMAN	3e-13
TRINITY_DN10076_c0_g1_i1	sp|Q1W617|SHRM4_MOUSE	6e-12
TRINITY_DN1841_c0_g1_i1	sp|Q9BWV7|TTLL2_HUMAN	2e-20
TRINITY_DN6906_c0_g1_i1	sp|Q8C8R3|ANK2_MOUSE	2e-09
TRINITY_DN1961_c0_g1_i1	sp|Q9VXT2|DJC25_DROME	1e-18
TRINITY_DN12970_c0_g1_i1	sp|Q21313|EPI1_CAEEL	2e-35
TRINITY_DN8341_c0_g1_i1	sp|Q5RCC9|H33_PONAB	3e-37
TRINITY_DN13027_c0_g1_i1	sp|Q6INX4|ENOF1_XENLA	4e-54
TRINITY_DN8377_c0_g1_i1	sp|P23975|SC6A2_HUMAN	1e-26
TRINITY_DN2624_c0_g1_i1	sp|Q7ZU45|TTC25_DANRE	3e-25
TRINITY_DN7063_c0_g1_i1	sp|Q7YU24|MARF_DROME	5e-06
TRINITY_DN5136_c0_g1_i1	sp|Q95WA0|RL26_LITLI	8e-12
TRINITY_DN1625_c0_g1_i1	sp|Q9GKW0|MARC2_MACFA	1e-07
TRINITY_DN3378_c0_g1_i1	sp|Q96QK1|VPS35_HUMAN	3e-08
TRINITY_DN1901_c0_g1_i1	sp|Q8WUA2|PPIL4_HUMAN	5e-05
TRINITY_DN4501_c0_g1_i1	sp|Q3B8K3|RT24B_XENLA	3e-11
TRINITY_DN11333_c0_g1_i1	sp|Q8K3X2|FCL_CRIGR	8e-18
TRINITY_DN12732_c0_g1_i1	sp|O93274|FZD8_XENLA	4e-26
TRINITY_DN1469_c0_g1_i1	sp|F1PCT7|RPN2_CANLF	1e-15
TRINITY_DN8430_c0_g1_i1	sp|P34935|BIP_PIG	1e-25
TRINITY_DN8842_c0_g1_i1	sp|A7RIT9|3HAO_NEMVE	1e-06
TRINITY_DN3684_c0_g1_i1	sp|Q9QYJ0|DNJA2_MOUSE	3e-19
TRINITY_DN12753_c0_g1_i1	sp|P41116|RL8_XENLA	2e-45
TRINITY_DN6301_c0_g1_i1	sp|B2RX88|CSPP1_MOUSE	7e-07
TRINITY_DN11070_c0_g1_i1	sp|Q6GPA1|MYO1D_XENLA	2e-26
TRINITY_DN13602_c0_g1_i1	sp|Q0V8S0|HGS_BOVIN	4e-05
TRINITY_DN13261_c0_g1_i1	sp|O15943|CADN_DROME	3e-07
TRINITY_DN11512_c0_g1_i1	sp|Q96IG2|FXL20_HUMAN	1e-24
